,season,player_id,player,pos,age,tm,g,gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_percent,x2p_percent,e_fg_percent,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
0,2023,5025,A.J. Green,SG,23.0,MIL,35,1.0,9.9,1.5,3.6,0.424,0.419,0.45,0.6,1.0,0.2,1.1,1.3,0.6,0.2,0.0,0.3,0.9,4.4
1,2023,5026,A.J. Lawson,SG,22.0,TOT,15,0.0,7.2,1.5,2.9,0.5,0.4,0.632,0.614,0.25,0.4,1.0,1.4,0.1,0.1,0.0,0.2,0.7,3.7
4,2023,4219,Aaron Gordon,PF,27.0,DEN,68,68.0,30.2,6.3,11.2,0.564,0.347,0.628,0.603,0.608,2.4,4.1,6.6,3.0,0.8,0.8,1.4,1.9,16.3
5,2023,4582,Aaron Holiday,PG,26.0,ATL,63,6.0,13.4,1.5,3.5,0.418,0.409,0.424,0.5,0.844,0.4,0.8,1.2,1.4,0.6,0.2,0.6,1.3,3.9
6,2023,4805,Aaron Nesmith,SF,23.0,IND,73,60.0,24.9,3.5,8.1,0.427,0.366,0.496,0.525,0.838,0.8,2.9,3.8,1.3,0.8,0.5,1.0,3.2,10.1
7,2023,4900,Aaron Wiggins,SG,24.0,OKC,70,14.0,18.5,2.7,5.2,0.512,0.393,0.573,0.579,0.831,1.0,2.0,3.0,1.1,0.6,0.2,0.8,1.6,6.8
8,2023,4688,Admiral Schofield,PF,25.0,ORL,37,0.0,12.2,1.5,3.3,0.451,0.324,0.646,0.549,0.913,0.6,1.1,1.7,0.8,0.2,0.1,0.4,1.6,4.2
9,2023,5027,AJ Griffin,SF,19.0,ATL,72,12.0,19.5,3.4,7.4,0.465,0.39,0.536,0.56,0.894,0.5,1.6,2.1,1.0,0.6,0.2,0.6,1.2,8.9
10,2023,3734,Al Horford,C,36.0,BOS,63,63.0,30.5,3.6,7.6,0.476,0.446,0.539,0.627,0.714,1.2,5.0,6.2,3.0,0.5,1.0,0.6,1.9,9.8
11,2023,3982,Alec Burks,SG,31.0,DET,51,8.0,22.0,3.9,9.0,0.436,0.414,0.459,0.544,0.814,0.4,2.7,3.1,2.2,0.7,0.2,1.1,1.9,12.8
12,2023,4806,Aleksej Pokusevski,PF,21.0,OKC,34,25.0,20.6,3.2,7.3,0.434,0.365,0.483,0.51,0.629,1.3,3.4,4.7,1.9,0.6,1.3,1.3,1.7,8.1
13,2023,4465,Alex Caruso,PG,28.0,CHI,67,36.0,23.5,1.9,4.3,0.455,0.364,0.556,0.551,0.808,0.6,2.3,2.9,2.9,1.5,0.7,1.1,2.4,5.6
14,2023,4142,Alex Len,C,29.0,SAC,26,2.0,6.2,0.6,1.2,0.533,0.0,0.571,0.533,0.688,0.9,1.4,2.3,0.5,0.2,0.4,0.6,1.1,1.7
15,2023,4583,Alize Johnson,PF,26.0,SAS,4,0.0,7.5,0.8,1.5,0.5,0.0,0.75,0.5,0.5,0.5,2.0,2.5,0.3,0.3,0.0,1.0,0.8,1.8
